time,tof_height,accel_x,accel_y,accel_z,inlet_pressure,air_spring_pressure,inlet_valve,exhaust_valve
0.0000,167.5000,-0.0042,0.0664,9.8463,2.9891,1.5138,1,0
0.0200,171.6406,-0.0091,0.0292,9.7380,2.9976,1.4979,1,0
0.0401,175.4726,-0.0059,-0.0362,9.7687,2.9954,1.4899,1,0
0.0601,178.8729,-0.0402,-0.0595,9.9021,2.9933,1.4848,1,0
0.0802,181.7387,0.0331,-0.0120,9.6791,2.9885,1.4742,1,0
0.1002,183.9899,0.0034,-0.0584,9.7236,2.9969,1.4730,1,0
0.1202,185.5713,-0.0447,0.1559,9.7441,2.9883,1.4680,1,0
0.1403,186.4535,-0.0330,0.0593,9.8918,2.9912,1.4424,1,0
0.1603,186.6328,-0.0902,-0.0387,9.7217,2.9935,1.4681,1,0
0.1804,186.1305,0.0080,0.0233,9.7147,2.9830,1.4432,1,0
0.2004,184.9912,0.0116,0.0614,9.8730,2.9968,1.4724,1,0
0.2204,183.2799,-0.0325,-0.0112,9.7844,2.9872,1.4696,1,0
0.2405,181.0796,-0.0368,0.1219,9.8710,2.9920,1.4850,1,0
0.2605,178.4870,0.0233,0.0683,9.7542,2.9851,1.4858,1,0
0.2806,175.6088,-0.0189,0.0375,9.7198,2.9804,1.4645,1,0
0.3006,172.5579,-0.0036,0.0752,9.7665,2.9932,1.4824,1,0
0.3206,169.4485,-0.0168,0.0682,9.9892,2.9759,1.4829,1,0
0.3407,166.3926,-0.0217,0.0452,9.8784,2.9824,1.5118,1,0
0.3607,163.4957,0.0171,-0.0549,9.7578,2.9773,1.5259,1,0
0.3808,160.8539,-0.0056,0.0400,9.8460,2.9690,1.5132,1,0
0.4008,158.5502,-0.0005,0.0116,9.7297,2.9702,1.5321,1,0
0.4208,156.6524,-0.0121,-0.0667,9.9297,2.9795,1.5341,1,0
0.4409,155.2117,0.0110,-0.0716,9.7546,2.9732,1.5334,1,0
0.4609,154.2608,0.1145,-0.0215,9.8123,2.9766,1.5269,1,0
0.4810,153.8141,-0.0403,-0.0125,9.8172,2.9721,1.5188,1,0
0.5010,153.8673,0.0296,-0.0121,9.9609,2.9737,1.5188,1,0
0.5210,154.3991,-0.0004,-0.0761,9.7063,2.9731,1.5391,1,0
0.5411,155.3719,-0.0258,0.0085,9.8564,2.9756,1.5208,1,0
0.5611,156.7341,-0.0278,-0.0564,9.8456,2.9729,1.5378,1,0
0.5812,158.4222,-0.0404,0.0237,9.8615,2.9669,1.5054,1,0
0.6012,160.3641,0.0056,0.0054,9.9201,2.9690,1.5124,1,0
0.6212,162.4813,-0.0289,0.0182,9.8350,2.9675,1.5106,1,0
0.6413,164.6922,-0.0463,0.0313,9.9632,2.9657,1.5074,1,0
0.6613,166.9153,0.0327,0.1266,9.6819,2.9732,1.4867,1,0
0.6814,169.0716,0.0566,-0.0024,9.8254,2.9707,1.5067,1,0
0.7014,171.0878,0.0503,0.0534,9.7721,2.9650,1.4901,1,0
0.7214,172.8984,0.0400,-0.0617,9.8375,2.9605,1.4889,1,0
0.7415,174.4474,-0.0186,0.0135,9.8388,2.9609,1.5036,1,0
0.7615,175.6907,0.0492,-0.0512,9.9132,2.9647,1.4742,1,0
0.7816,176.5963,-0.0119,0.0023,9.7357,2.9544,1.4948,1,0
0.8016,177.1457,-0.0957,0.0375,9.8170,2.9634,1.4864,1,0
0.8216,177.3335,0.0331,-0.0058,9.6994,2.9662,1.4929,1,0
0.8417,177.1671,0.0110,0.0806,9.8310,2.9570,1.4879,1,0
0.8617,176.6665,-0.0217,-0.0646,9.8061,2.9553,1.4712,1,0
0.8818,175.8624,0.0374,-0.0434,9.7719,2.9591,1.4956,1,0
0.9018,174.7951,-0.0192,0.0175,9.7183,2.9596,1.4980,1,0
0.9218,173.5125,-0.0353,-0.0242,9.8673,2.9517,1.4776,1,0
0.9419,172.0683,-0.0593,-0.0356,9.9403,2.9576,1.4931,1,0
0.9619,170.5199,0.0610,0.0502,9.8360,2.9549,1.4800,1,0
0.9820,168.9257,-0.0300,-0.0135,9.8601,2.9427,1.4996,1,0
1.0020,167.3440,0.0113,0.1065,9.8517,2.9517,1.4999,0,1
1.0220,165.8299,0.0441,0.0231,9.8341,2.9481,1.4950,0,1
1.0421,164.4341,-0.0348,0.0259,9.8801,2.9509,1.5169,0,1
1.0621,163.2013,-0.0454,-0.0496,9.7365,2.9452,1.5118,0,1
1.0822,162.1685,0.0059,-0.0001,9.8723,2.9629,1.5129,0,1
1.1022,161.3642,0.0293,-0.0367,9.6653,2.9484,1.5223,0,1
1.1222,160.8078,-0.0021,-0.0074,9.8272,2.9486,1.5259,0,1
1.1423,160.5092,0.0522,-0.0257,9.8476,2.9470,1.5204,0,1
1.1623,160.4688,-0.0064,-0.0345,9.6671,2.9624,1.5084,0,1
1.1824,160.6779,-0.0048,-0.0014,9.9809,2.9441,1.5096,0,1
1.2024,161.1193,-0.0099,0.0543,9.7860,2.9474,1.5119,0,1
1.2224,161.7683,-0.0809,-0.0436,9.8107,2.9527,1.5336,0,1
1.2425,162.5939,0.0823,-0.0674,9.8775,2.9482,1.5230,0,1
